algorithm,core type,max. nonproximity,min. nonproximity,avg. nonproximity
rectpack_maxrectsrot,all,2.7403117600631415,0.0,0.4311847715786018
rectpack_maxrectsrot,big,1.5936842105263156,0,0.13495401320854084
rectpack_maxrectsrot,A72,3.383133340891719,0,0.5427330687529603
rectpack_maxrectsrot,Mali,8.378200852430105,0,0.7039273754274712
rectpack_maxrectsrot,LITTLE,7.253064982899238,0,0.42138292906805036
rectpack_maxrectsnorot,all,2.5118504544729063,0.0,0.28189046002006474
rectpack_maxrectsnorot,big,0,0,0.0
rectpack_maxrectsnorot,A72,4.098571099415932,0,0.4403734110832835
rectpack_maxrectsnorot,Mali,7.794224051191028,0,0.34865791235082894
rectpack_maxrectsnorot,LITTLE,6.701736385161799,0,0.40165286446584864
rectpack_guillotinerot,all,2.499439737756309,0.0,0.40018107984484724
rectpack_guillotinerot,big,0,0,0.0
rectpack_guillotinerot,A72,4.317876435026534,0,0.42682348687663724
rectpack_guillotinerot,Mali,8.598792579109809,0,1.0927966961876163
rectpack_guillotinerot,LITTLE,2.5115627466456196,0,0.28770986221075884
rectpack_guillotinenorot,all,2.4114539171462055,0.0,0.21343669878266802
rectpack_guillotinenorot,big,0,0,0.0
rectpack_guillotinenorot,A72,0,0,0.0
rectpack_guillotinenorot,Mali,8.532802731394074,0,0.9514026418913062
rectpack_guillotinenorot,LITTLE,0,0,0.0
rectpack_skylinerot,all,1.7625886063785288,0.0,0.1501828512675476
rectpack_skylinerot,big,0,0,0.0
rectpack_skylinerot,A72,3.383133340891719,0,0.25285747078330084
rectpack_skylinerot,Mali,5.287765819135586,0,0.45007219595610204
rectpack_skylinerot,LITTLE,1.2596553538542488,0,0.0014664206680491836
rectpack_skylinenorot,all,1.6882468655670242,0.0,0.1342489872055423
rectpack_skylinenorot,big,0,0,0.0
rectpack_skylinenorot,A72,3.383133340891719,0,0.31807785913576997
rectpack_skylinenorot,Mali,4.859789944942512,0,0.3331305189831938
rectpack_skylinenorot,LITTLE,0,0,0.0
strippacking,all,1.6314539925157994,0.0,0.04329366335054928
strippacking,big,0,0,0.0
strippacking,A72,0,0,0.0
strippacking,Mali,4.561348964987055,0,0.1868246124524377
strippacking,LITTLE,0,0,0.0
heuristic_random,all,4.0,0.0,0.016880093131548313
heuristic_random,big,0,0,0.0
heuristic_random,A72,0,0,0.0
heuristic_random,Mali,0,0,0.0
heuristic_random,LITTLE,12.0,0,0.05064027939464494
heuristic_totalarea,all,0.0,0.0,0.0
heuristic_totalarea,big,0,0,0.0
heuristic_totalarea,A72,0,0,0.0
heuristic_totalarea,Mali,0,0,0.0
heuristic_totalarea,LITTLE,0,0,0.0
heuristic_corearea,all,2.0,0.0,0.0011641443538998836
heuristic_corearea,big,0,0,0.0
heuristic_corearea,A72,0,0,0.0
heuristic_corearea,Mali,0,0,0.0
heuristic_corearea,LITTLE,4.0,0,0.002328288707799767
